constructor_id,constructor_name,race_entries,starts,wins,podiums,points,championships,poles,fastest_laps,best_championship_position,best_starting_grid,best_finish
ferrari,Ferrari,1136,1134,250,845,11369.0,16,254,270,1,1,1
mclaren,McLaren,1010,1005,205,564,8371.5,10,179,186,1,1,1
mercedes,Mercedes,353,353,139,326,8584.5,8,153,121,1,1,1
red-bull,Red Bull,430,429,130,301,8474.0,6,111,103,1,1,1
williams,Williams,863,862,114,314,3785.0,9,128,134,1,1,1
lotus,Lotus,493,491,79,172,1514.0,7,107,71,1,1,1
brabham,Brabham,402,394,35,124,983.0,2,39,42,1,1,1
renault,Renault,403,400,35,103,1777.0,2,51,33,1,1,1
benetton,Benetton,260,260,27,102,861.5,1,15,36,1,1,1
tyrrell,Tyrrell,433,431,23,77,711.0,1,14,20,1,1,1
brm,BRM,208,197,17,61,535.5,1,11,15,1,1,1
cooper,Cooper,129,129,16,58,480.5,2,11,14,1,1,1
alfa-romeo,Alfa Romeo,214,214,10,26,199.0,0,12,16,6,1,1
ligier,Ligier,330,326,9,50,388.0,0,9,10,2,1,1
maserati,Maserati,73,70,9,37,9.0,0,10,17,5,1,1
matra,Matra,63,62,9,21,184.0,1,4,12,1,1,1
vanwall,Vanwall,29,28,9,13,68.0,1,7,6,1,1,1
brawn,Brawn,17,17,8,15,172.0,1,5,4,1,1,1
kurtis-kraft,Kurtis Kraft,12,12,5,16,4.0,0,6,7,0,1,1
jordan,Jordan,250,250,4,19,291.0,0,2,2,3,1,1
march,March,208,197,3,21,185.0,0,5,7,3,1,1
wolf,Wolf,48,47,3,13,79.0,0,1,2,4,1,1
honda,Honda,88,88,3,9,156.0,0,2,2,4,1,1
watson,Watson,9,9,3,5,28.0,0,2,1,0,1,1
lotus-f1,Lotus,77,77,2,25,706.0,0,0,5,4,2,1
epperly,Epperly,5,5,2,5,29.0,0,0,2,0,7,1
bmw-sauber,BMW Sauber,70,70,1,17,308.0,0,1,2,2,1,1
alpine,Alpine,126,126,1,7,598.0,0,0,1,4,2,1
shadow,Shadow,112,104,1,7,68.5,0,3,2,6,1,1
hesketh,Hesketh,60,52,1,7,48.0,0,0,1,4,2,1
porsche,Porsche,35,32,1,5,50.0,0,1,0,3,1,1
stewart,Stewart,49,49,1,5,47.0,0,1,0,4,1,1
