year,constructor_id,constructor_name,race_entries,wins,podiums,points,best_finish,championship_position
1950,adams,Adams,2,0,0,0.0,27.0,
1950,alfa-romeo,Alfa Romeo,22,6,12,89.0,1.0,
1950,alta,Alta,3,0,0,0.0,9.0,
1950,cooper,Cooper,1,0,0,0.0,,
1950,deidt,Deidt,3,0,2,10.0,2.0,
1950,era,ERA,8,0,0,0.0,6.0,
1950,ewing,Ewing,1,0,0,0.0,17.0,
1950,ferrari,Ferrari,15,0,4,21.0,2.0,
1950,kurtis-kraft,Kurtis Kraft,15,1,1,14.0,1.0,
1950,langley,Langley,1,0,0,0.0,16.0,
1950,lesovsky,Lesovsky,2,0,0,0.0,8.0,
1950,marchese,Marchese,1,0,0,0.0,11.0,
1950,maserati,Maserati,37,0,1,11.0,3.0,
1950,moore,Moore,1,0,0,0.0,6.0,
1950,nichels,Nichels,1,0,0,0.0,9.0,
1950,olson,Olson,1,0,0,0.0,23.0,
1950,rae,Rae,1,0,0,0.0,22.0,
1950,simca-gordini,Simca-Gordini,5,0,0,3.0,4.0,
1950,snowberger,Snowberger,1,0,0,0.0,26.0,
1950,stevens,Stevens,1,0,0,0.0,12.0,
1950,talbot-lago,Talbot-Lago,38,0,2,20.0,3.0,
1950,watson,Watson,1,0,0,0.0,32.0,
1950,wetteroth,Wetteroth,1,0,0,0.0,24.0,
1951,alfa-romeo,Alfa Romeo,30,5,11,75.0,1.0,
1951,alta,Alta,1,0,0,0.0,,
1951,brm,BRM,5,0,0,2.0,5.0,
1951,bromme,Bromme,1,0,0,0.0,27.0,
1951,deidt,Deidt,4,0,0,0.0,8.0,
1951,era,ERA,2,0,0,0.0,8.0,
1951,ferrari,Ferrari,34,3,13,86.0,1.0,
1951,hwm,HWM,2,0,0,0.0,8.0,
1951,hall,Hall,1,0,0,0.0,19.0,
1951,kurtis-kraft,Kurtis Kraft,17,1,4,19.0,1.0,
1951,kuzma,Kuzma,1,0,0,0.0,15.0,
1951,lesovsky,Lesovsky,1,0,0,0.0,30.0,
1951,marchese,Marchese,1,0,0,0.0,20.0,
1951,maserati,Maserati,15,0,0,0.0,7.0,
1951,moore,Moore,1,0,0,0.0,6.0,
1951,osca,O.S.C.A.,1,0,0,0.0,9.0,
1951,pawl,Pawl,1,0,0,0.0,16.0,
1951,schroeder,Schroeder,2,0,0,2.0,5.0,
1951,sherman,Sherman,1,0,0,3.0,4.0,
1951,simca-gordini,Simca-Gordini,13,0,0,0.0,6.0,
1951,talbot-lago,Talbot-Lago,45,0,0,5.0,4.0,
1951,trevis,Trevis,1,0,0,0.0,29.0,
1951,veritas,Veritas,1,0,0,0.0,,
1951,watson,Watson,1,0,0,0.0,33.0,
1952,afm,AFM,5,0,0,0.0,9.0,
1952,alta,Alta,2,0,0,0.0,12.0,
1952,aston-butterworth,Aston Butterworth,4,0,0,0.0,,
1952,balsa,Balsa,1,0,0,0.0,,
1952,bromme,Bromme,1,0,0,0.0,22.0,
1952,cisitalia,Cisitalia,1,0,0,0.0,,
1952,connaught,Connaught,8,0,0,5.0,4.0,
1952,cooper,Cooper,16,0,1,12.0,3.0,
1952,deidt,Deidt,1,0,0,0.0,24.0,
1952,era,ERA,3,0,0,0.0,,
1952,ferrari,Ferrari,51,7,17,120.5,1.0,
1952,frazer-nash,Frazer-Nash,4,0,0,3.0,4.0,
1952,gordini,Gordini,23,0,2,17.0,3.0,
1952,hwm,HWM,26,0,0,2.0,5.0,
1952,heck,Heck,1,0,0,0.0,12.0,
1952,krakau,Krakau,1,0,0,0.0,,
1952,kurtis-kraft,Kurtis Kraft,21,0,2,13.0,2.0,
1952,kuzma,Kuzma,1,1,1,8.0,1.0,
1952,lesovsky,Lesovsky,3,0,0,3.0,4.0,
1952,maserati,Maserati,25,0,1,8.5,2.0,
1952,nacke,Nacke,1,0,0,0.0,,
1952,osca,O.S.C.A.,1,0,0,0.0,,
1952,reif,Reif,1,0,0,0.0,,
1952,sherman,Sherman,1,0,0,0.0,15.0,
1952,simca-gordini,Simca-Gordini,6,0,0,0.0,14.0,
1952,stevens,Stevens,2,0,0,0.0,14.0,
1952,trevis,Trevis,1,0,0,0.0,16.0,
1952,veritas,Veritas,9,0,0,0.0,7.0,
1952,watson,Watson,1,0,0,0.0,12.0,
1953,afm,AFM,4,0,0,0.0,14.0,
1953,bromme,Bromme,1,0,0,0.0,31.0,
1953,connaught,Connaught,21,0,0,0.0,7.0,
1953,cooper,Cooper,21,0,0,0.0,6.0,
1953,del-roy,Del Roy,1,0,0,0.0,32.0,
1953,emw,EMW,1,0,0,0.0,,
