stage,dataset,rows,mae,rmse,r2
pre_practice,2025_VALIDATION,479,3.3683702970218348,4.339359794861429,0.43164209336385295
pre_practice,2026_TEST,264,4.190773600224662,5.405573738240647,0.2740316164085228
fp1,2025_VALIDATION,479,3.294511054936339,4.258797037786335,0.4525499862924257
fp1,2026_TEST,264,3.91282757876754,5.240803240553891,0.3176144445664556
fp2,2025_VALIDATION,479,3.2820540090281223,4.282675516311057,0.4463938250654824
fp2,2026_TEST,264,3.7010254346356626,5.1084389100137,0.3516484944759761
fp3,2025_VALIDATION,479,3.1987121533466345,4.190537655760192,0.46995824972740174
fp3,2026_TEST,264,3.6260282848169614,4.973870621206376,0.38535679611180385
qualifying,2025_VALIDATION,479,2.7388934831289657,3.7607753063239566,0.5731007837649327
qualifying,2026_TEST,264,3.5559516916320457,4.939052340012145,0.3939319747234922
