season,round,race_name,session_type,session_name,session_id,driver_id,driver_code,driver_name,position,laps_completed,fastest_lap_rank,fastest_lap_time,average_lap_time,top_speed,session_timestamp,session_timezone,round_id,constructor_id,constructor_name,session_type_metadata
2025,1,Australian Grand Prix,FP1,Practice One,session_s5C5LCb1,driver_BOyYHlVE,,Lando Norris,1,21,1.0,,,,2025-03-14T01:30:00Z,Australia/Melbourne,round_o8hVRhyD,,,FP1
2025,1,Australian Grand Prix,FP1,Practice One,session_s5C5LCb1,driver_nPms5pYt,,Carlos Sainz,2,25,2.0,,,,2025-03-14T01:30:00Z,Australia/Melbourne,round_o8hVRhyD,,,FP1
2025,1,Australian Grand Prix,FP1,Practice One,session_s5C5LCb1,driver_pAXWnsA8,,Charles Leclerc,3,21,3.0,,,,2025-03-14T01:30:00Z,Australia/Melbourne,round_o8hVRhyD,,,FP1
2025,1,Australian Grand Prix,FP1,Practice One,session_s5C5LCb1,driver_1V17qcph,,Oscar Piastri,4,20,4.0,,,,2025-03-14T01:30:00Z,Australia/Melbourne,round_o8hVRhyD,,,FP1
2025,1,Australian Grand Prix,FP1,Practice One,session_s5C5LCb1,driver_VkTWWTC5,,Max Verstappen,5,21,5.0,,,,2025-03-14T01:30:00Z,Australia/Melbourne,round_o8hVRhyD,,,FP1
2025,1,Australian Grand Prix,FP1,Practice One,session_s5C5LCb1,driver_0Z9Cjb1U,,Alexander Albon,6,18,6.0,,,,2025-03-14T01:30:00Z,Australia/Melbourne,round_o8hVRhyD,,,FP1
2025,1,Australian Grand Prix,FP1,Practice One,session_s5C5LCb1,driver_dPPwWNxA,,George Russell,7,26,7.0,,,,2025-03-14T01:30:00Z,Australia/Melbourne,round_o8hVRhyD,,,FP1
2025,1,Australian Grand Prix,FP1,Practice One,session_s5C5LCb1,driver_WqMAI78W,,Fernando Alonso,8,23,8.0,,,,2025-03-14T01:30:00Z,Australia/Melbourne,round_o8hVRhyD,,,FP1
2025,1,Australian Grand Prix,FP1,Practice One,session_s5C5LCb1,driver_ZiErQgDm,,Isack Hadjar,9,25,9.0,,,,2025-03-14T01:30:00Z,Australia/Melbourne,round_o8hVRhyD,,,FP1
2025,1,Australian Grand Prix,FP1,Practice One,session_s5C5LCb1,driver_XkmSOlgX,,Lance Stroll,10,20,10.0,,,,2025-03-14T01:30:00Z,Australia/Melbourne,round_o8hVRhyD,,,FP1
2025,1,Australian Grand Prix,FP1,Practice One,session_s5C5LCb1,driver_aEOevTUh,,Yuki Tsunoda,11,23,11.0,,,,2025-03-14T01:30:00Z,Australia/Melbourne,round_o8hVRhyD,,,FP1
2025,1,Australian Grand Prix,FP1,Practice One,session_s5C5LCb1,driver_cAPSXDn9,,Lewis Hamilton,12,20,12.0,,,,2025-03-14T01:30:00Z,Australia/Melbourne,round_o8hVRhyD,,,FP1
2025,1,Australian Grand Prix,FP1,Practice One,session_s5C5LCb1,driver_g0a6B2Hm,,Jack Doohan,13,20,13.0,,,,2025-03-14T01:30:00Z,Australia/Melbourne,round_o8hVRhyD,,,FP1
2025,1,Australian Grand Prix,FP1,Practice One,session_s5C5LCb1,driver_yNfRW5Lg,,Andrea Kimi Antonelli,14,25,14.0,,,,2025-03-14T01:30:00Z,Australia/Melbourne,round_o8hVRhyD,,,FP1
2025,1,Australian Grand Prix,FP1,Practice One,session_s5C5LCb1,driver_d1a4FipV,,Gabriel Bortoleto,15,22,15.0,,,,2025-03-14T01:30:00Z,Australia/Melbourne,round_o8hVRhyD,,,FP1
2025,1,Australian Grand Prix,FP1,Practice One,session_s5C5LCb1,driver_uLDLxCqO,,Liam Lawson,16,22,16.0,,,,2025-03-14T01:30:00Z,Australia/Melbourne,round_o8hVRhyD,,,FP1
2025,1,Australian Grand Prix,FP1,Practice One,session_s5C5LCb1,driver_q7WdJenu,,Pierre Gasly,17,23,17.0,,,,2025-03-14T01:30:00Z,Australia/Melbourne,round_o8hVRhyD,,,FP1
