session_id,session_type,session_name,session_timestamp,session_timezone,round_id,round_number,race_name
session_s5C5LCb1,FP1,Practice One,2025-03-14T01:30:00Z,Australia/Melbourne,round_o8hVRhyD,1,Australian Grand Prix
session_X1sv7FSq,FP1,Practice One,2025-03-21T03:30:00Z,Asia/Shanghai,round_qeHJwsLt,2,Chinese Grand Prix
session_oBd8NFLw,FP1,Practice One,2025-04-04T02:30:00Z,Asia/Tokyo,round_ACPPMICt,3,Japanese Grand Prix
session_NpNz3cLL,FP1,Practice One,2025-04-11T11:30:00Z,Asia/Bahrain,round_Ps0NYVtI,4,Bahrain Grand Prix
session_3zjl4YsZ,FP1,Practice One,2025-04-18T13:30:00Z,Asia/Riyadh,round_aMsooP3B,5,Saudi Arabian Grand Prix
session_2R5BbCUB,FP1,Practice One,2025-05-02T16:30:00Z,America/New_York,round_BlTmWZnZ,6,Miami Grand Prix
session_O3wIskxV,FP1,Practice One,2025-05-16T11:30:00Z,Europe/Rome,round_1cGKl3n5,7,Emilia Romagna Grand Prix
session_PRHTO4SI,FP1,Practice One,2025-05-23T11:30:00Z,Europe/Monaco,round_hgM9vutr,8,Monaco Grand Prix
session_gaThBqQD,FP1,Practice One,2025-05-30T11:30:00Z,Europe/Madrid,round_UttnpexN,9,Spanish Grand Prix
session_JVfb1UfV,FP1,Practice One,2025-06-13T17:30:00Z,America/Montreal,round_dX2GBelZ,10,Canadian Grand Prix
session_B0SV0meR,FP1,Practice One,2025-06-27T11:30:00Z,Europe/Vienna,round_6dOsIQNf,11,Austrian Grand Prix
session_WIqxVT7I,FP1,Practice One,2025-07-04T11:30:00Z,Europe/London,round_7WfRgZOn,12,British Grand Prix
session_Jd3eQ3um,FP1,Practice One,2025-07-25T10:30:00Z,Europe/Brussels,round_ITLQXJwB,13,Belgian Grand Prix
session_7Gxnvv80,FP1,Practice One,2025-08-01T11:30:00Z,Europe/Budapest,round_xfKQlOqf,14,Hungarian Grand Prix
session_I5BIZuX6,FP1,Practice One,2025-08-29T10:30:00Z,Europe/Amsterdam,round_QuXj6jaQ,15,Dutch Grand Prix
session_wUyRJ7oW,FP1,Practice One,2025-09-05T11:30:00Z,Europe/Rome,round_uCSCkDO5,16,Italian Grand Prix
session_sJ3gQkqy,FP1,Practice One,2025-09-19T08:30:00Z,Asia/Baku,round_NepHP1jY,17,Azerbaijan Grand Prix
session_DlEXOC6n,FP1,Practice One,2025-10-03T09:30:00Z,Asia/Singapore,round_IF7rdAdy,18,Singapore Grand Prix
session_17EXX6fb,FP1,Practice One,2025-10-17T17:30:00Z,America/Chicago,round_3qtjdi7s,19,United States Grand Prix
session_g3UBfe2y,FP1,Practice One,2025-10-24T18:30:00Z,America/Mexico_City,round_GjqaMOBR,20,Mexico City Grand Prix
session_SI1U6PYh,FP1,Practice One,2025-11-07T14:30:00Z,America/Sao_Paulo,round_NdsW6MO5,21,São Paulo Grand Prix
session_ksdCqkmg,FP1,Practice One,2025-11-21T00:30:00Z,America/Los_Angeles,round_f51tGI62,22,Las Vegas Grand Prix
session_ejwvI1m2,FP1,Practice One,2025-11-28T13:30:00Z,Asia/Qatar,round_oEvMifxc,23,Qatar Grand Prix
session_xX7dvATL,FP1,Practice One,2025-12-05T09:30:00Z,Asia/Dubai,round_LHzJR8OP,24,Abu Dhabi Grand Prix
session_x9VyNzyf,FP1,Practice One,2026-03-06T01:30:00Z,Australia/Melbourne,round_46HucC4K,1,Australian Grand Prix
session_nlTwyapH,FP1,Practice One,2026-03-13T03:30:00Z,Asia/Shanghai,round_JqmngOvt,2,Chinese Grand Prix
session_x1LbcOLr,FP1,Practice One,2026-03-27T02:30:00Z,Asia/Tokyo,round_9fXol7IF,3,Japanese Grand Prix
session_DFWSkeaP,FP1,Practice One,2026-05-01T16:00:00Z,America/New_York,round_01d4Qacj,4,Miami Grand Prix
session_ECfr1zJC,FP1,Practice One,2026-05-22T16:30:00Z,America/Montreal,round_TFkjXvlD,5,Canadian Grand Prix
session_01tso9mf,FP1,Practice One,2026-06-05T11:30:00Z,Europe/Monaco,round_haMdTaCK,6,Monaco Grand Prix
session_xfD14DyE,FP1,Practice One,2026-06-12T11:30:00Z,Europe/Madrid,round_oJLKMXh3,7,Barcelona Grand Prix
session_kvNs7aMz,FP1,Practice One,2026-06-26T11:30:00Z,Europe/Vienna,round_iD1C6J1b,8,Austrian Grand Prix
session_JdGaM9pk,FP1,Practice One,2026-07-03T11:30:00Z,Europe/London,round_XIS0uRlu,9,British Grand Prix
session_dWGkvRjk,FP1,Practice One,2026-07-17T11:30:00Z,Europe/Brussels,round_9K3rFCix,10,Belgian Grand Prix
session_9YVmfsRv,FP1,Practice One,2026-07-24T11:30:00Z,Europe/Budapest,round_SftqlqVl,11,Hungarian Grand Prix
session_B8lKePlU,FP1,Practice One,2026-08-21T10:30:00Z,Europe/Amsterdam,round_OlKoikhn,12,Dutch Grand Prix
session_pULmYKSo,FP2,Practice Two,2025-03-14T05:00:00Z,Australia/Melbourne,round_o8hVRhyD,1,Australian Grand Prix
session_A7sIwH1u,FP2,Practice Two,2025-04-04T06:00:00Z,Asia/Tokyo,round_ACPPMICt,3,Japanese Grand Prix
session_tJtzVwFE,FP2,Practice Two,2025-04-11T15:00:00Z,Asia/Bahrain,round_Ps0NYVtI,4,Bahrain Grand Prix
session_rHI2GhiI,FP2,Practice Two,2025-04-18T17:00:00Z,Asia/Riyadh,round_aMsooP3B,5,Saudi Arabian Grand Prix
session_La8tYfG5,FP2,Practice Two,2025-05-16T15:00:00Z,Europe/Rome,round_1cGKl3n5,7,Emilia Romagna Grand Prix
session_Lsf88Noq,FP2,Practice Two,2025-05-23T15:00:00Z,Europe/Monaco,round_hgM9vutr,8,Monaco Grand Prix
session_3iWofwRf,FP2,Practice Two,2025-05-30T15:00:00Z,Europe/Madrid,round_UttnpexN,9,Spanish Grand Prix
session_uMEIgJzn,FP2,Practice Two,2025-06-13T21:00:00Z,America/Montreal,round_dX2GBelZ,10,Canadian Grand Prix
session_LyyfmcNO,FP2,Practice Two,2025-06-27T15:00:00Z,Europe/Vienna,round_6dOsIQNf,11,Austrian Grand Prix
session_mwmKnrcM,FP2,Practice Two,2025-07-04T15:00:00Z,Europe/London,round_7WfRgZOn,12,British Grand Prix
session_wFqwRSzu,FP2,Practice Two,2025-08-01T15:00:00Z,Europe/Budapest,round_xfKQlOqf,14,Hungarian Grand Prix
session_YvhcQEef,FP2,Practice Two,2025-08-29T14:00:00Z,Europe/Amsterdam,round_QuXj6jaQ,15,Dutch Grand Prix
session_gLu5GvYP,FP2,Practice Two,2025-09-05T15:00:00Z,Europe/Rome,round_uCSCkDO5,16,Italian Grand Prix
session_5BVrzWfR,FP2,Practice Two,2025-09-19T12:00:00Z,Asia/Baku,round_NepHP1jY,17,Azerbaijan Grand Prix
session_lyQjzi00,FP2,Practice Two,2025-10-03T13:00:00Z,Asia/Singapore,round_IF7rdAdy,18,Singapore Grand Prix
session_sPWf1Rn3,FP2,Practice Two,2025-10-24T22:00:00Z,America/Mexico_City,round_GjqaMOBR,20,Mexico City Grand Prix
session_yQqf13cc,FP2,Practice Two,2025-11-21T04:00:00Z,America/Los_Angeles,round_f51tGI62,22,Las Vegas Grand Prix
session_sfx4KBjX,FP2,Practice Two,2025-12-05T13:00:00Z,Asia/Dubai,round_LHzJR8OP,24,Abu Dhabi Grand Prix
session_eZ6VC5mk,FP2,Practice Two,2026-03-06T05:00:00Z,Australia/Melbourne,round_46HucC4K,1,Australian Grand Prix
session_cGLLAz1t,FP2,Practice Two,2026-03-27T06:00:00Z,Asia/Tokyo,round_9fXol7IF,3,Japanese Grand Prix
session_our4dLjW,FP2,Practice Two,2026-06-05T15:00:00Z,Europe/Monaco,round_haMdTaCK,6,Monaco Grand Prix
session_KAZLFKhP,FP2,Practice Two,2026-06-12T15:00:00Z,Europe/Madrid,round_oJLKMXh3,7,Barcelona Grand Prix
session_f4ftlkWP,FP2,Practice Two,2026-06-26T15:00:00Z,Europe/Vienna,round_iD1C6J1b,8,Austrian Grand Prix
session_v89OgEdo,FP2,Practice Two,2026-07-17T15:00:00Z,Europe/Brussels,round_9K3rFCix,10,Belgian Grand Prix
session_ywo6eOZK,FP2,Practice Two,2026-07-24T15:00:00Z,Europe/Budapest,round_SftqlqVl,11,Hungarian Grand Prix
