season,round,race_id,session,session_time,weather_observations,temperature_avg,temperature_min,temperature_max,humidity_avg,precipitation_total,rain_hours,rain_flag,wind_speed_avg,wind_speed_max,wind_direction_avg,cloud_cover_avg
2024,1,1102,fp1,2024-02-29 11:30:00,4,19.299999999999997,18.7,19.6,41.75,0.0,0,0,33.15,34.1,322.7507299444592,0.0
2024,1,1102,fp2,2024-02-29 15:00:00,5,18.520000000000003,17.2,19.5,36.6,0.0,0,0,33.779999999999994,35.3,333.4003755533627,0.0
2024,1,1102,fp3,2024-03-01 12:30:00,4,20.0,19.4,20.3,38.75,0.0,0,0,28.450000000000003,29.8,327.52591964010304,2.0
2024,1,1102,qualifying,2024-03-01 16:00:00,5,18.98,17.5,20.1,44.4,0.0,0,0,24.579999999999995,28.2,345.0029313503816,1.2
2024,2,1103,fp1,2024-03-07 13:30:00,4,29.975,29.7,30.3,32.5,0.0,0,0,29.725,33.2,317.49980948352555,0.0
2024,2,1103,fp2,2024-03-07 17:00:00,5,27.78,25.0,29.7,39.0,0.0,0,0,32.06,34.6,323.80026105326374,0.0
2024,2,1103,fp3,2024-03-08 13:30:00,4,28.575,28.3,28.8,39.75,0.0,0,0,27.575,30.3,316.9997714557178,0.0
2024,2,1103,qualifying,2024-03-08 17:00:00,5,26.520000000000003,24.3,28.3,51.0,0.0,0,0,27.919999999999998,30.9,322.9977989000625,0.0
2024,3,1104,fp1,2024-03-22 01:30:00,4,9.350000000000001,8.2,11.3,89.0,0.0,0,0,4.75,5.2,68.71835152008646,0.0
2024,3,1104,fp2,2024-03-22 05:00:00,5,8.239999999999998,7.6,9.4,91.6,0.0,0,0,5.779999999999999,8.9,18.133501317641574,5.8
2024,3,1104,fp3,2024-03-23 01:30:00,4,14.075000000000001,13.7,14.8,77.0,0.0,0,0,7.425000000000001,7.9,115.50034341841283,98.5
2024,3,1104,qualifying,2024-03-23 05:00:00,5,13.459999999999999,13.0,13.9,82.6,0.0,0,0,8.16,9.1,116.20489232327878,83.2
2024,4,1105,fp1,2024-04-05 02:30:00,4,10.125,9.5,10.7,70.5,0.0,0,0,11.850000000000001,12.6,290.2499952402622,45.25
2024,4,1105,fp2,2024-04-05 06:00:00,5,10.06,8.9,12.1,71.0,0.0,0,0,9.92,11.2,287.59979520347713,91.4
2024,4,1105,fp3,2024-04-06 02:30:00,4,12.450000000000001,11.6,12.9,88.0,0.0,0,0,1.9,3.2,62.0,86.5
2024,4,1105,qualifying,2024-04-06 06:00:00,5,11.32,10.1,13.1,92.6,0.0,0,0,3.5200000000000005,5.5,350.6968172431736,96.2
2024,5,1106,fp1,2024-04-19 03:30:00,4,11.025,10.8,11.2,78.25,0.0,0,0,11.475000000000001,14.0,131.9839757072179,100.0
