season,round,circuit_id,weather_fp1_period_temperature_avg,weather_fp1_period_temperature_min,weather_fp1_period_temperature_max,weather_fp1_period_humidity_avg,weather_fp1_period_precipitation_total,weather_fp1_period_rain_hours,weather_fp1_period_rain_flag,weather_fp1_period_wind_speed_avg,weather_fp1_period_wind_speed_max,weather_fp1_period_cloud_cover_avg
2014,1,albert_park,21.20833333333333,15.5,28.2,55.458333333333336,20.8,8,1,20.4125,35.0,64.41666666666667
2014,2,sepang,26.204166666666666,24.2,28.8,85.58333333333333,10.6,13,1,4.966666666666668,12.1,83.625
2014,3,bahrain,22.09166666666667,20.0,23.7,52.25,0.0,0,0,19.77083333333333,24.9,0.0
2014,4,shanghai,14.316666666666668,13.8,15.2,90.79166666666669,18.6,15,1,15.683333333333332,21.1,100.0
2014,5,catalunya,19.245833333333334,14.1,25.0,71.20833333333333,0.0,0,0,8.929166666666667,20.9,63.083333333333336
2014,6,monaco,16.8375,13.2,19.5,75.25,0.0,0,0,6.366666666666667,11.1,28.95833333333333
2014,7,villeneuve,20.416666666666668,14.0,26.4,65.91666666666667,0.0,0,0,11.495833333333332,15.2,14.083333333333334
2014,8,red_bull_ring,14.449999999999998,8.6,19.8,70.625,0.2,2,1,6.683333333333333,11.2,54.333333333333336
2014,9,silverstone,16.816666666666666,15.1,19.3,77.83333333333333,4.300000000000001,12,1,12.833333333333334,19.9,97.04166666666669
2014,10,hockenheimring,25.71666666666667,17.4,32.7,53.66666666666666,0.0,0,0,8.091666666666667,11.6,38.375
2014,11,hungaroring,22.90416666666667,16.0,27.9,65.70833333333333,0.2,1,1,7.354166666666667,12.0,25.541666666666668
2014,12,spa,11.866666666666667,9.4,15.2,90.04166666666667,5.7,9,1,13.566666666666668,20.5,73.5
2014,13,monza,19.925,14.8,25.2,79.95833333333333,0.0,0,0,5.083333333333333,8.3,28.0
2014,14,marina_bay,26.40416666666667,25.1,27.6,86.375,9.4,18,1,5.508333333333333,10.8,78.79166666666667
2014,15,suzuka,20.7875,19.4,23.7,70.08333333333333,0.2,1,1,16.645833333333332,24.5,97.375
2014,16,sochi,18.89583333333333,13.8,22.9,71.95833333333333,0.0,0,0,4.279166666666667,6.6,0.0
2014,17,americas,14.625,9.9,19.4,46.958333333333336,0.0,0,0,10.220833333333331,12.6,9.333333333333334
2014,18,interlagos,20.90833333333333,18.3,24.7,90.75,29.500000000000004,14,1,9.420833333333333,12.6,99.83333333333331
2014,19,yas_marina,23.08333333333333,16.1,29.0,70.95833333333333,0.0,0,0,8.625,16.6,6.666666666666667
2015,1,albert_park,18.2,8.8,28.8,63.54166666666666,1.2000000000000002,5,1,14.066666666666665,22.6,61.25
2015,2,sepang,27.3125,24.0,31.0,77.04166666666667,0.8999999999999999,3,1,6.8375,11.1,73.91666666666667
2015,3,shanghai,11.316666666666668,4.8,17.6,75.5,0.0,0,0,9.4375,14.0,69.16666666666667
2015,4,bahrain,25.03333333333333,23.6,27.0,60.708333333333336,0.0,0,0,30.766666666666666,37.9,2.458333333333333
2015,5,catalunya,19.225,14.1,24.7,73.79166666666667,0.0,0,0,9.783333333333331,19.8,24.375
2015,6,monaco,16.958333333333332,12.7,19.6,72.125,0.0,0,0,6.125,10.8,88.20833333333333
2015,7,villeneuve,14.675,10.1,19.0,53.458333333333336,0.0,0,0,13.604166666666666,20.7,19.75
2015,8,red_bull_ring,11.329166666666666,7.4,15.5,79.54166666666667,6.4,8,1,6.045833333333333,10.1,64.70833333333333
2015,9,silverstone,20.0625,16.1,24.1,70.25,16.9,4,1,16.720833333333335,22.7,65.75
2015,10,hungaroring,27.5125,22.5,33.7,57.083333333333336,1.0,3,1,10.25,16.8,29.45833333333333
2015,11,spa,19.27083333333333,13.7,24.3,58.41666666666666,0.0,0,0,11.004166666666668,13.5,9.875
2015,12,monza,17.95,14.5,21.9,74.375,7.999999999999999,10,1,5.683333333333334,10.5,49.25
2015,13,marina_bay,27.53333333333333,26.5,29.1,83.66666666666667,4.4,8,1,9.375,13.1,46.083333333333336
2015,14,suzuka,22.2375,19.8,25.9,87.79166666666667,1.0,4,1,4.775,8.5,79.875
2015,15,sochi,13.1,11.2,15.0,71.41666666666667,0.2,1,1,6.233333333333334,9.6,45.458333333333336
2015,16,americas,21.25,17.7,23.2,94.79166666666669,91.7,24,1,21.766666666666666,28.1,99.95833333333331
2015,17,rodriguez,15.3,12.6,19.6,85.5,1.2,1,1,8.4625,14.6,94.125
2015,18,interlagos,25.225000000000005,20.8,30.2,78.08333333333333,0.5,2,1,11.85,20.7,80.58333333333333
2015,19,yas_marina,24.666666666666668,22.3,27.7,67.41666666666667,0.0,0,0,18.916666666666668,25.7,19.25
2016,1,albert_park,14.829166666666666,13.4,16.3,64.375,0.4,1,1,16.279166666666665,21.9,65.20833333333333
2016,2,bahrain,20.525,18.6,22.6,49.5,0.0,0,0,17.420833333333334,21.7,14.458333333333334
