stage,model,season,races,mae_raw_prediction,race_position_mae,winner_accuracy,top3_hit_rate,top5_hit_rate,top10_hit_rate,exact_podium_rate,exact_position_accuracy,average_spearman,average_grid_size
pre_practice,random_forest,2025,24,3.7839361374450253,4.118421052631579,0.25,0.5972222222222222,0.7083333333333334,0.7083333333333334,0.08333333333333333,0.10010964912280702,0.5386695906432748,19.958333333333332
pre_practice,random_forest,2026,12,4.112204163839004,4.143939393939394,0.3333333333333333,0.44444444444444436,0.6,0.7250000000000001,0.0,0.12121212121212122,0.5814982119329947,22.0
pre_practice,gradient_boosting,2025,24,3.7453677753502306,4.222368421052631,0.4166666666666667,0.6388888888888888,0.6833333333333332,0.6916666666666668,0.041666666666666664,0.09605263157894738,0.5154135338345864,19.958333333333332
pre_practice,gradient_boosting,2026,12,4.020946501135541,4.303030303030303,0.3333333333333333,0.4166666666666666,0.65,0.75,0.0,0.0984848484848485,0.5710521362695277,22.0
fp1,random_forest,2025,24,3.7218994851314435,4.0929824561403505,0.3333333333333333,0.5972222222222222,0.7166666666666668,0.7125,0.08333333333333333,0.08958333333333333,0.5558792815371763,19.958333333333332
fp1,random_forest,2026,12,4.0069787307605464,4.0227272727272725,0.3333333333333333,0.47222222222222215,0.6166666666666666,0.7333333333333334,0.0,0.09848484848484847,0.5996612083568607,22.0
fp1,gradient_boosting,2025,24,3.6521801082503544,4.180701754385965,0.3333333333333333,0.5972222222222222,0.7083333333333334,0.7000000000000001,0.08333333333333333,0.10844298245614037,0.5343984962406014,19.958333333333332
fp1,gradient_boosting,2026,12,3.908513204893088,4.174242424242424,0.25,0.4166666666666667,0.6333333333333332,0.7500000000000001,0.0,0.10606060606060606,0.5867683041596086,22.0
fp2,random_forest,2025,24,3.680516246084585,3.9627192982456143,0.3333333333333333,0.5972222222222222,0.7166666666666668,0.7041666666666666,0.125,0.11260964912280702,0.5657163742690058,19.958333333333332
fp2,random_forest,2026,12,3.9620061669369204,4.053030303030303,0.4166666666666667,0.5277777777777778,0.5833333333333333,0.725,0.0,0.0984848484848485,0.5973084886128365,22.0
fp2,gradient_boosting,2025,24,3.614384598831999,4.079385964912281,0.2916666666666667,0.611111111111111,0.725,0.6999999999999998,0.08333333333333333,0.10021929824561403,0.5463868003341686,19.958333333333332
fp2,gradient_boosting,2026,12,3.7916245968225013,4.083333333333333,0.3333333333333333,0.38888888888888884,0.6499999999999999,0.7416666666666667,0.08333333333333333,0.07575757575757575,0.6046489742141916,22.0
fp3,random_forest,2025,24,3.6095514083097453,3.7997807017543863,0.3333333333333333,0.625,0.725,0.725,0.125,0.0980263157894737,0.5927944862155389,19.958333333333332
fp3,random_forest,2026,12,3.9057733521686746,3.8030303030303028,0.5,0.6111111111111112,0.6166666666666666,0.7416666666666667,0.0,0.12121212121212122,0.6274233013363449,22.0
fp3,gradient_boosting,2025,24,3.528769793821312,3.9160087719298247,0.4166666666666667,0.625,0.7416666666666667,0.725,0.041666666666666664,0.12532894736842104,0.5732873851294903,19.958333333333332
fp3,gradient_boosting,2026,12,3.7451259372292807,3.765151515151515,0.4166666666666667,0.5277777777777778,0.6999999999999998,0.7583333333333334,0.0,0.10606060606060606,0.6353284396762658,22.0
qualifying,random_forest,2025,24,3.888779083715987,3.4322368421052634,0.3333333333333333,0.625,0.7583333333333334,0.7625000000000001,0.08333333333333333,0.12543859649122807,0.6497702589807852,19.958333333333332
qualifying,random_forest,2026,12,4.409534261159032,3.7121212121212115,0.16666666666666666,0.5277777777777778,0.7166666666666667,0.75,0.0,0.09848484848484847,0.6494447581404105,22.0
qualifying,gradient_boosting,2025,24,3.112240697977784,3.323684210526315,0.5416666666666666,0.6666666666666666,0.775,0.7541666666666668,0.16666666666666666,0.16260964912280704,0.6572994987468671,19.958333333333332
qualifying,gradient_boosting,2026,12,3.5723779213355087,3.5833333333333335,0.6666666666666666,0.638888888888889,0.7000000000000001,0.7416666666666667,0.08333333333333333,0.13257575757575754,0.6547148503670244,22.0
