stage,model,feature_count,validation_mae,validation_rmse,validation_r2,validation_top3,validation_top10,test_2026_mae,test_2026_rmse,test_2026_r2,test_2026_top3,test_2026_top10
pre_practice,random_forest,22,3.7825743067759188,4.694895740938695,0.33469239303702847,0.006263048016701462,0.3173277661795407,4.112204163839004,5.167753584819521,0.3365049164368942,0.0,0.29924242424242425
pre_practice,gradient_boosting,22,3.7440707453098603,4.830396160017623,0.29573503325704165,0.033402922755741124,0.31524008350730687,4.020946501135541,5.26166289995572,0.31217151620446115,0.007575757575757576,0.30303030303030304
fp1,random_forest,38,3.7213078601364424,4.6223454599612195,0.35509553359980517,0.0,0.3173277661795407,4.006978730760545,5.129271918554939,0.3463495549198444,0.0,0.2878787878787879
fp1,gradient_boosting,38,3.6510882708445758,4.708962600150626,0.33069962754425797,0.03966597077244259,0.3235908141962422,3.908513204893089,5.274075518549629,0.3089224204878377,0.007575757575757576,0.3068181818181818
fp2,random_forest,51,3.680504674287953,4.583824046951341,0.3657996731039662,0.0020876826722338203,0.2985386221294363,3.9620061669369213,5.095088185983427,0.35503295346713304,0.0,0.2840909090909091
fp2,gradient_boosting,51,3.6141873908960074,4.680612689925839,0.33873430081599165,0.05010438413361169,0.325678496868476,3.7916245968225017,5.10479669526589,0.3525726881988187,0.003787878787878788,0.29924242424242425
fp3,random_forest,64,3.609735948398771,4.506674159818755,0.38696834272085234,0.0020876826722338203,0.3089770354906054,3.905773352168675,5.0118222785104125,0.3759413030714708,0.0,0.2727272727272727
fp3,gradient_boosting,64,3.5291273034620816,4.591342169990187,0.3637176096845647,0.05636743215031315,0.33611691022964507,3.7451259372292798,5.0508955916430684,0.36617276328746884,0.01893939393939394,0.29924242424242425
qualifying,random_forest,93,3.889007746291379,4.619877030026088,0.3557841348519044,0.0,0.3298538622129436,4.409534261159032,5.323329432029781,0.29595437908286926,0.0,0.2803030303030303
qualifying,gradient_boosting,93,3.111921969086325,4.226087754804972,0.4609269678299527,0.07306889352818371,0.348643006263048,3.5723779213355087,4.953977140920749,0.3902636145896815,0.026515151515151516,0.3181818181818182
