stage,candidate,validation_rank_mae,validation_top3,validation_top5,validation_top10,validation_winner,test_rank_mae,test_top3,test_top5,test_top10,test_winner
pre_practice,rf_small,4.126754385964912,0.5972222222222222,0.7000000000000002,0.7041666666666666,0.2916666666666667,4.121212121212121,0.47222222222222215,0.6,0.7250000000000001,0.3333333333333333
pre_practice,rf_large,4.1936403508771924,0.5972222222222222,0.6666666666666666,0.7000000000000001,0.25,4.083333333333333,0.5,0.65,0.75,0.5
pre_practice,extra_trees,4.143201754385966,0.6388888888888888,0.6916666666666668,0.7041666666666666,0.3333333333333333,4.3181818181818175,0.47222222222222215,0.65,0.7083333333333334,0.16666666666666666
pre_practice,gb_standard,4.222368421052631,0.6388888888888888,0.6833333333333332,0.6916666666666668,0.4166666666666667,4.303030303030303,0.4166666666666666,0.65,0.75,0.3333333333333333
pre_practice,gb_deeper,4.117543859649123,0.6388888888888888,0.6666666666666666,0.7041666666666666,0.4166666666666667,4.401515151515151,0.3611111111111111,0.6666666666666666,0.75,0.25
pre_practice,gb_shallow,4.106140350877193,0.611111111111111,0.7000000000000001,0.7000000000000001,0.2916666666666667,4.2272727272727275,0.4166666666666666,0.65,0.7333333333333334,0.3333333333333333
fp1,rf_small,4.105263157894737,0.5972222222222222,0.725,0.7125,0.3333333333333333,4.0227272727272725,0.4444444444444444,0.6166666666666666,0.7333333333333334,0.4166666666666667
fp1,rf_large,4.159429824561403,0.5555555555555555,0.6833333333333332,0.7083333333333334,0.3333333333333333,4.015151515151515,0.47222222222222215,0.6333333333333334,0.7333333333333334,0.5
fp1,extra_trees,4.18421052631579,0.5972222222222222,0.725,0.7083333333333334,0.2916666666666667,4.106060606060606,0.47222222222222215,0.6499999999999999,0.7333333333333334,0.25
fp1,gb_standard,4.180701754385965,0.5972222222222222,0.7083333333333334,0.7000000000000001,0.3333333333333333,4.174242424242424,0.4166666666666667,0.6333333333333332,0.7500000000000001,0.25
fp1,gb_deeper,4.272807017543859,0.5277777777777778,0.6916666666666668,0.6958333333333333,0.4166666666666667,4.128787878787879,0.4166666666666666,0.6,0.725,0.3333333333333333
fp1,gb_shallow,4.122587719298246,0.625,0.7166666666666668,0.7125,0.3333333333333333,4.083333333333333,0.4166666666666667,0.6833333333333332,0.7333333333333334,0.3333333333333333
fp2,rf_small,3.9460526315789473,0.611111111111111,0.725,0.7124999999999999,0.2916666666666667,4.083333333333333,0.5555555555555555,0.5833333333333333,0.7166666666666667,0.4166666666666667
fp2,rf_large,4.0625,0.5555555555555555,0.7166666666666668,0.7041666666666666,0.25,4.015151515151515,0.4166666666666667,0.5833333333333334,0.7416666666666667,0.4166666666666667
fp2,extra_trees,3.933552631578948,0.625,0.7083333333333334,0.7125,0.3333333333333333,3.992424242424242,0.44444444444444436,0.6166666666666666,0.7416666666666667,0.08333333333333333
fp2,gb_standard,4.079385964912281,0.611111111111111,0.725,0.6999999999999998,0.2916666666666667,4.083333333333333,0.38888888888888884,0.6499999999999999,0.7416666666666667,0.3333333333333333
fp2,gb_deeper,4.074561403508772,0.6388888888888888,0.6916666666666668,0.7125,0.5416666666666666,4.106060606060606,0.4444444444444444,0.5499999999999999,0.7500000000000001,0.3333333333333333
fp2,gb_shallow,3.979385964912281,0.611111111111111,0.7000000000000001,0.7125,0.2916666666666667,4.0606060606060606,0.4166666666666667,0.6666666666666666,0.7333333333333334,0.3333333333333333
fp3,rf_small,3.8000000000000007,0.6527777777777777,0.725,0.725,0.3333333333333333,3.8560606060606055,0.6111111111111112,0.6333333333333333,0.7416666666666667,0.5
fp3,rf_large,3.908333333333333,0.625,0.7333333333333334,0.7208333333333333,0.16666666666666666,3.7803030303030307,0.5,0.6666666666666666,0.7583333333333334,0.4166666666666667
fp3,extra_trees,3.8662280701754383,0.6527777777777777,0.7416666666666667,0.725,0.2916666666666667,3.8333333333333335,0.4166666666666666,0.6333333333333333,0.7416666666666667,0.16666666666666666
fp3,gb_standard,3.9160087719298247,0.625,0.7416666666666667,0.725,0.4166666666666667,3.765151515151515,0.5277777777777778,0.6999999999999998,0.7583333333333334,0.4166666666666667
fp3,gb_deeper,3.9866228070175436,0.611111111111111,0.7333333333333334,0.7166666666666668,0.375,3.878787878787879,0.5277777777777778,0.6666666666666666,0.7666666666666667,0.4166666666666667
fp3,gb_shallow,3.886842105263158,0.6388888888888888,0.7416666666666667,0.725,0.3333333333333333,3.8030303030303028,0.47222222222222215,0.6999999999999998,0.7583333333333334,0.3333333333333333
qualifying,rf_small,3.444736842105263,0.625,0.7583333333333334,0.75,0.375,3.7121212121212115,0.5555555555555555,0.6666666666666666,0.75,0.4166666666666667
qualifying,rf_large,3.286184210526315,0.6527777777777778,0.775,0.7791666666666667,0.5,3.6818181818181817,0.611111111111111,0.6666666666666666,0.7416666666666667,0.5833333333333334
qualifying,extra_trees,3.3857456140350877,0.6527777777777778,0.75,0.7624999999999998,0.375,3.628787878787879,0.5833333333333334,0.7666666666666666,0.7666666666666666,0.5
qualifying,gb_standard,3.323684210526315,0.6666666666666666,0.775,0.7541666666666668,0.5416666666666666,3.5833333333333335,0.638888888888889,0.7000000000000001,0.7416666666666667,0.6666666666666666
qualifying,gb_deeper,3.382236842105263,0.6944444444444443,0.75,0.7583333333333334,0.5416666666666666,3.7045454545454546,0.611111111111111,0.7000000000000001,0.75,0.4166666666666667
qualifying,gb_shallow,3.2857456140350876,0.7083333333333334,0.7583333333333334,0.7583333333333334,0.625,3.507575757575758,0.6666666666666666,0.6833333333333332,0.7583333333333334,0.75
